step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,3328.67,C000030216,1188.33,0.0,C000044452,20893.15,24221.82,0,0
1,CASH_IN,604.17,C000005110,2896.93,2292.76,C000031905,3574.46,4178.62,0,0
1,CASH_IN,1148.42,C000008181,25286.75,24138.33,C000034004,3235.73,4384.15,0,0
1,CASH_IN,216.41,C000065185,1917.45,1701.04,C000023572,436.71,653.12,0,0
1,CASH_IN,8411.14,C000060493,2546.73,0.0,C000044132,37.16,8448.3,0,0
1,CASH_IN,74.58,C000054176,1490.99,1416.4,C000015593,1983.04,2057.62,0,0
1,CASH_IN,391.89,C000063047,189.71,0.0,C000043993,14663.58,15055.47,0,0
1,CASH_OUT,1100.54,C000036167,13583.81,12483.27,C000044792,30653.79,31754.33,0,0
1,CASH_IN,88.05,C000032818,572.11,484.06,C000019067,817.27,905.32,0,0
1,PAYMENT,1055.32,C000022298,4119.82,3064.5,C000060624,1731.51,2786.83,0,0
1,CASH_IN,1017.61,C000013240,1469.66,452.05,C000061867,9164.26,10181.87,0,0
1,PAYMENT,144.14,C000024278,5456.95,5312.81,C000058784,20555.13,20699.27,0,0
1,CASH_OUT,1893.96,C000062537,763.45,0.0,C000060955,20134.39,22028.35,0,0
1,PAYMENT,4679.68,C000001326,529.61,0.0,C000061109,571.82,5251.5,0,0
1,CASH_IN,565.84,C000059416,2318.63,1752.79,C000041616,2404.15,2969.99,0,0
1,PAYMENT,264.79,C000006964,1314.55,1049.77,C000049247,4095.61,4360.4,0,0
1,PAYMENT,1096.89,C000000894,24479.93,23383.04,C000023253,933.9,2030.79,0,0
1,CASH_OUT,177.19,C000022794,23829.25,23652.06,C000042964,2072.27,2249.46,0,0
1,CASH_OUT,176.99,C000062430,681.32,504.33,C000056638,17.31,194.3,0,0
1,CASH_IN,352.57,C000004123,195.19,0.0,C000027077,160.43,513.01,0,0
1,PAYMENT,288.21,C000066317,904.24,616.04,C000034234,5332.91,5621.12,0,0
1,CASH_OUT,645.47,C000018683,207.87,0.0,C000012697,127.13,772.6,0,0
1,PAYMENT,3971.2,C000029436,5568.79,1597.59,C000051257,651.12,4622.32,0,0
1,CASH_OUT,727.62,C000039300,4854.45,4126.83,C000028612,4043.0,4770.62,0,0
1,CASH_IN,285.87,C000028824,5041.55,4755.67,C000038953,1033.25,1319.12,0,0
1,CASH_IN,538.91,C000000830,178.98,0.0,C000064938,53.26,592.17,0,0
1,PAYMENT,710.87,C000043728,5182.85,4471.98,C000004299,679.07,1389.93,0,0
1,CASH_OUT,473.61,C000020474,14399.82,13926.21,C000053431,3860.56,4334.17,0,0
1,PAYMENT,1301.99,C000019652,20886.5,19584.52,C000011823,16750.13,18052.12,0,0
1,CASH_OUT,2627.81,C000021315,7001.68,4373.87,C000050950,6844.57,9472.38,0,0
1,CASH_IN,178.42,C000037532,8259.48,8081.06,C000026360,15541.3,15719.72,0,0
1,DEBIT,210.99,C000055263,334.4,123.41,C000038458,3222.29,3433.29,0,0
1,PAYMENT,1165.73,C000012896,842.71,0.0,C000033057,376.18,1541.92,0,0
1,PAYMENT,1319.48,C000004047,7615.06,6295.58,C000026193,46954.88,48274.36,0,0
